Rxns,Growth0,Opt1_0,Opt2_0,Opt3_0,Opt4_0,Mix_0,Growth2,Opt1_2,Opt2_2,Opt3_2,Opt4_2,Mix_2,Growth4,Opt1_4,Opt2_4,Opt3_4,Opt4_4,Mix_4,Growth2a2,Opt1_2g2,Opt2_2g2,Opt3_2g2,Opt4_2g2,Mix_2g2
4H2OGLTtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4H2OGLTtp,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HBZCOAFm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HBZFm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HBZtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HGLSDm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HPRO_LTtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4HTHRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4MOPDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
5AOPt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5AOPtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5FTHFt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6PGLter,-0.000183891,0,0,0,0,0,-0.000162256,0,0,0,0,0,-0.000140622,0,0,0,0,0,-0.000162256,-2.20E-05,-2.20E-05,-2.20E-05,-2.20E-05,-2.20E-05
8AONNt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABTN,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0
AACTOOR,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0
AASAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASAD2,0.023922485,0,0,0,0,0,0.021108075,0,0,0,0,0,0.018293665,0,0,0,0,0,0.021108075,0.002862,0.002862,0.002862,0.002862,0.002862
AATA,0.023922485,0,0,0,0,0,0.021108075,0,0,0,0,0,0.018293665,0,0,0,0,0,0.021108075,0.002862,0.002862,0.002862,0.002862,0.002862
ABTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUTDm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUTt2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACT1,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ACACT1m,0.001103343,0,0,0,0,0,0.000973538,0,0,0,0,0.00E+00,0.000843733,0,0,0,0,0,0.000973538,0.000132,0.000132,0.000132,0.000132,0
ACACT4p,0,0.016789792,0.019597169,0,0,-7.26E-32,0,0.006044325,0.007984032,3.54E-31,0,-2.21E-45,0,0,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-3.27E-35
ACACT5p,0,0.016789792,0.019597169,0,0,-7.73E-32,0,0.006044325,0.007984032,3.54E-31,0,-2.15E-45,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-3.77E-35
ACACT6p,0,0.016789792,0.019597169,0,0,-8.06E-32,0,0.006044325,0.007984032,3.53E-31,0,5.49E-45,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-6.56E-35
ACACT7p,0,0.016789792,0.019597169,0,0,-9.62E-32,0,0.006044325,0.007984032,3.59E-31,0,5.49E-45,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-3.32E-35
ACACT8p,0,0.016789792,0.019597169,0,0,-9.30E-32,0,0.006044325,0.007984032,3.61E-31,0,7.05E-60,0,0.00E+00,0,0,0,0.00E+00,0,0,0.001323899,0,0.000136745,-1.37E-35
ACACT9p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALDCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALDt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALDtm,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0
ACCOACr,0.033234032,0.201477502,0.215568862,1.05E-32,0.236779795,9.28E-31,0.029324146,0.072531901,0.087824351,5.96E-31,0.085240726,-9.07E-29,0.02541426,0.00E+00,0,0,0.00E+00,0.00E+00,0.029324146,0.003976,0.018538884,0.003976,0.005480193,0.003976
ACCOACrm,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0
ACCOAtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGAM6PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ACGAMPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ACGKm,0.027199079,0,0,0,0,0.00E+00,0.023999188,0.00E+00,0,0,0,0,0.020799296,0.00E+00,0,0,0,0,0.023999188,0.001607,0.001607,0.001607,0.001607,0.001607
ACGSm,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHBSm,0.016107138,0,0,0,0,0,0.01421218,0,0,0,0,0,0.012317223,0,0,0,0,0,0.01421218,0.001927,0.001927,0.001927,0.001927,0.001927
ACHLE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ACHLE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHLE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACLSm,0.046892082,0,0,0,0,0,0.041375367,0,0,0,0,0,0.035858651,0,0,0,0,0.00E+00,0.041375367,0.00561,0.00561,0.00561,0.00561,0.00561
ACOAHim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOAO4p,0,0.016789792,0.019597169,0,0,-7.47E-32,0,0.006044325,0.007984032,3.51E-31,0,-2.21E-45,0,0,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-2.24E-35
ACOAO5p,0,0.016789792,0.019597169,0,0,-8.37E-32,0,0.006044325,0.007984032,3.56E-31,0,-2.15E-45,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-4.67E-35
ACOAO6p,0,0.016789792,0.019597169,0,0,-9.09E-32,0,0.006044325,0.007984032,3.58E-31,0,5.49E-45,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-5.92E-35
ACOAO7p,0,0.016789792,0.019597169,0,0,-9.34E-32,0,0.006044325,0.007984032,3.63E-31,0,5.49E-45,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0.001323899,0,0.000136745,-2.27E-35
ACOAO8p,0,0.016789792,0.019597169,0,0,-1.05E-31,0,0.006044325,0.007984032,3.65E-31,0,7.81E-60,0,0.00E+00,0,0,0,0.00E+00,0,0,0.001323899,0,0.000136745,0
ACOAO9p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOATAm,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0
ACON3MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACONT,0.531127641,0,0,0,0,0.00E+00,0.468642037,0.00E+00,0,0,0,0.00E+00,0.406156432,6.11E-13,0.088495575,-3.26E-13,1.10E-16,0.088495575,0.468642036,0.010188,0.010188,0.005719,0.005719,0.005719
ACONT3m,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0
ACONTm,0.291055816,0,0,0,0.00E+00,0,0.492108073,0,0,0,0,0.00E+00,0.69316033,0,0,0,0,0.00E+00,0.492108073,0,0,0,0,0
ACOTAim,0.027199079,0,0,0,0,0.00E+00,0.023999188,0.00E+00,0,0,0,0,0.020799296,0.00E+00,0,0,0,0,0.023999188,0.001607,0.001607,0.001607,0.001607,0.001607
ACP1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACPSm,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRNtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRNtp,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ACS,0.042704394,0,0,0,0,0,0.037680347,0,0,0,0.00E+00,0,0.032656301,0,0,0,0,0,0.037680347,0,0,0,0,0
ACSm,0,0.386165212,0.646706587,0.1,1.18E-32,-4.57E-16,0,0.139019476,0.263473054,0,0,0,0,0,0,0,0,0,0,0.0151278,0.064672853,0.000573,0,5.97E-19
ACSp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACt2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACtm,0,0.386165212,0.646706587,0,0,-4.57E-16,0,0.139019476,0.263473054,0,0,-1.36E-31,0,0,0,0,0,0,0,0.0151278,0.064672853,0.000573,0,5.97E-19
ACtp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACtr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0
ADCL,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0
ADCS,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0
ADD,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ADEt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADEtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADHAPR_SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK1,0.411445841,0.419744795,0.215568862,0,0.197316496,0,0.363040448,0.151108126,0.087824351,0,0.071033938,0,0.314635055,0.00E+00,0,0,0.00E+00,0.00E+00,0.363040448,0.0492239,0.056878784,0.0441149,0.0441149,0.0441149
ADK1m,0,0.386165212,0.646706587,0.1,1.18E-32,-4.57E-16,0,0.139019476,0.263473054,0,0,0,0,0,0,0,0,0,0,0.0151278,0.064672853,0.000573,0,5.97E-19
ADK3,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0
ADK3m,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK4,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0
ADK4m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADMDC,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNCYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNK1,0.025493077,0.00E+00,0,0,0.00E+00,0.00E+00,0.022493891,0.00E+00,0,0,0.00E+00,0,0.019494706,0,0,0,0.00E+00,0,0.022493891,0.0030499,0.0030499,0.0030499,0.0030499,0.0030499
ADNUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPT,-0.025434566,0.00E+00,0,0,0.00E+00,0.00E+00,-0.022442264,0.00E+00,0,0,0,0.00E+00,-0.019449962,0.00E+00,0,0,0.00E+00,0.00E+00,-0.022442264,-0.0030429,-0.0030429,-0.0030429,-0.0030429,-0.0030429
ADSK,0.004789512,0.201477502,0.215568862,0,0.197316496,2.94E-32,0.00422604,0.072531901,0.087824351,0,0.071033938,0,0.003662568,0,0,0,0.00E+00,0,0.00422604,0.000573,0.013336884,0.000573,0.000573,0.000573
ADSL1r,0.009687687,0,0,0,0,0,0.008547959,0,0,0,0,0.00E+00,0.007408231,0.00E+00,0,0,0,0,0.008547959,0.001159,0.001159,0.001159,0.001159,0.001159
ADSL2r,0.008274237,0,0,0,0.00E+00,0.00E+00,0.007300798,0.00E+00,0,0,0.00E+00,0.00E+00,0.006327358,0.00E+00,0,0,0.00E+00,0.00E+00,0.007300798,0.0009899,0.0009899,0.0009899,0.0009899,0.0009899
ADSS,0.009687687,0,0,0,0,0,0.008547959,0,0,0,0,0.00E+00,0.007408231,0.00E+00,0,0,0,0,0.008547959,0.001159,0.001159,0.001159,0.001159,0.001159
AGAT_SC,0.002064589,0,0,0,0.00E+00,0.00E+00,0.001821696,0,0,0,0,0,0.001578803,0,0,0,0,0,0.001821696,0.000247,0.000247,0.000247,0.000247,0.000247
AGPRim,0.027199079,0,0,0,0,0.00E+00,0.023999188,0.00E+00,0,0,0,0,0.020799296,0.00E+00,0,0,0,0,0.023999188,0.001607,0.001607,0.001607,0.001607,0.001607
AGTi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHCYStm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHCi,5.85E-05,0.00E+00,0,0,0,0.00E+00,5.16E-05,0,0,0,0,0,4.47E-05,0,0,0,0,0.00E+00,5.16E-05,7.00E-06,7.00E-06,7.00E-06,7.00E-06,7.00E-06
AHMMPS,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0
AHSERL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHSERL2,0.004789512,0.00E+00,0,0,0.00E+00,0.00E+00,0.00422604,0,0,0,0.00E+00,0,0.003662568,0,0,0,0.00E+00,0,0.00422604,0.000573,0.000573,0.000573,0.000573,0.000573
AICART,0.013816029,0,0,0,0.00E+00,0.00E+00,0.012190614,0.00E+00,0,0,0.00E+00,0.00E+00,0.010565199,0.00E+00,0,0,0.00E+00,0.00E+00,0.012190614,0.0016529,0.0016529,0.0016529,0.0016529,0.0016529
AIRCr,0.008274237,0,0,0,0.00E+00,0.00E+00,0.007300798,0.00E+00,0,0,0.00E+00,0.00E+00,0.006327358,0.00E+00,0,0,0.00E+00,0.00E+00,0.007300798,0.0009899,0.0009899,0.0009899,0.0009899,0.0009899
AKGDam,0.73702543,0.00E+00,0,0,0,0,0.885610673,0,0,0,0.00E+00,0,1.034195917,0,0,0,0,0.00E+00,0.885610673,0,0,0,0,0
AKGDbm,0.73702543,0.00E+00,0,0,0,0,0.885610673,0,0,0,0.00E+00,0,1.034195917,0,0,0,0,0,0.885610673,0,0,0,0,0
AKGMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKGt2n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKGt2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKGtm,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
AKGtp,0,0.00E+00,0,0,0,0.00E+00,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
AKP1,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0
ALASm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATA_L,-0.038349532,0,0,0,0,0,-0.033837822,0,0,0,0,0.00E+00,-0.029326113,0.00E+00,0,0,0.00E+00,0,-0.033837822,-0.004588,-0.004588,-0.004588,-0.004588,-0.004588
ALATA_Lm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATRS,0.038349532,0,0,0,0,0,0.033837822,0,0,0,0,0,0.029326113,0,0,0,0,0,0.033837822,0.004588,0.004588,0.004588,0.004588,0.004588
ALAt2r,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0
ALAtmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD19y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD22xi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD22xim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD22yi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ALCD23xi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD23xim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD23yi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ALCD24xi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD24xim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD24yi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ALCD25xi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD25xim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD25yi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD26xi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,0
ALCD26xim,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,0
ALCD2if,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD2ir,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD2irm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ALDD19x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDD20xm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
ALDD20y,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,0
ALDD20ym,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,0
ALDD22x,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0
